task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
repeat-copy,baseline_vs_combined,loss,none,200,0.6451718731969596,0.0016935442572687503,0.6439367574453354,0.6480820545554161,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,400,0.6334314344823361,0.0009016484419056564,0.6323837080597877,0.6344377267360687,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,600,0.629016006141901,0.0016963501528252563,0.627125973701477,0.631706719994545,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,800,0.6261239007115363,0.0016103340470539234,0.623969444334507,0.6282522344589233,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,1000,0.6215783306956292,0.0023941798821517707,0.6186373978853226,0.6251274815201759,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,1200,0.6168930325284601,0.001064335105945848,0.6158057032525539,0.6183823928236961,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,1400,0.6137004595622421,0.002844083909957835,0.6094544017314911,0.6173943015933037,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,1600,0.6102131036296488,0.0014980741881448524,0.6092247897386551,0.612802526652813,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,1800,0.6084666928276419,0.00223109626799142,0.6050022374093532,0.6110772404074669,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,2000,0.6045731913670898,0.004408852492631235,0.5971666793525219,0.6087772580981254,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,2200,0.6050477584078908,0.0013162208120724,0.6033344949781895,0.6070327118039132,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,2400,0.6014675540849566,0.0027006200840337617,0.596977177709341,0.6041979590058326,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,2600,0.5963028964400292,0.00419013655539614,0.5917919826507568,0.6017567618191242,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,2800,0.5981662061437965,0.0018288244177268387,0.5964109270274639,0.6010169549286366,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,3000,0.5931787784770132,0.002161323908927743,0.5905565367639065,0.5957299794256687,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,3200,0.5902053791284562,0.0017269072407282162,0.5886293365061284,0.5931255568563938,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,3400,0.5899955303594471,0.0014291142732425646,0.5879105891287327,0.5914638012647628,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,3600,0.5853213862329721,0.0029999340465105464,0.5824205541610717,0.5893575486540794,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,3800,0.5834621178358794,0.004937267382981877,0.576882043927908,0.5907887667417526,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,4000,0.5827864940091968,0.002132352561348759,0.579106405377388,0.5842562718689441,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,4200,0.5802350215241313,0.002221097757794809,0.5765246649086475,0.5824299225211144,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,4400,0.5786057444661856,0.001033838460769574,0.5773538236320018,0.5801969419419766,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,4600,0.5792748949304223,0.0031714007469580375,0.5760397319495678,0.5845313906669617,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,4800,0.5755466417595745,0.0027024463443129964,0.5710518944263459,0.5782468008995056,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,5000,0.5733955397829413,0.0018611556929764388,0.5714113166928292,0.576256800442934,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,5200,0.5700395092368126,0.004528931860424093,0.5638967606425286,0.5764287678897381,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,5400,0.572441381905228,0.004382290501902242,0.5661303683370352,0.5785070337355137,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,5600,0.5698046771809457,0.0023296372277821684,0.5670534904301167,0.5730509540438652,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,5800,0.5666722011007368,0.005036693517320008,0.5602870106697082,0.5720905308425427,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,6000,0.5680475118756294,0.0035847753822088003,0.5641980305314064,0.5728247644007206,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,6200,0.5724883407354355,0.0029449203561604507,0.5680302606523037,0.576165511906147,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,6400,0.5672496349550783,0.0027063633968904036,0.5627448108792305,0.5694556878507138,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,6600,0.569116209410131,0.001485685704499186,0.5671199016273022,0.5710249970853328,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,6800,0.564007409196347,0.0019456799942547,0.5608105570077896,0.5659724240005016,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,7000,0.5680504868924618,0.004317887060717561,0.5643398906290531,0.5753109215199947,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,7200,0.5694479694589972,0.0029366064666188816,0.5650413402915001,0.5733058100938797,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,7400,0.564033657964319,0.003841018579805471,0.5593077896535397,0.5681355811655522,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,7600,0.5631135467812418,0.004745673931805923,0.5577524241805076,0.5679892782866954,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,7800,0.5631515533663333,0.000862940665150191,0.5621744078397751,0.5642749166488648,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,8000,0.560536982845515,0.00215143823572257,0.5570979410409928,0.5630272820591926,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,8200,0.5606596440263093,0.004246412888590039,0.5559192574024201,0.5672942635416984,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,8400,0.5609496109560131,0.006423438354192947,0.5508247195929289,0.5665100901573896,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,8600,0.559416524413973,0.006211577284719973,0.5492221612483263,0.5659032951295376,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,8800,0.5554788298159837,0.00586795599088639,0.5471071541309357,0.5636848817765713,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,9000,0.5576665243506431,0.005473228862554879,0.5493524319678545,0.562888920456171,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,9200,0.5579318378306926,0.0034167076457536556,0.5541434735804797,0.5632591055333614,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,9400,0.5561508995853364,0.00476490372939343,0.5491107600182294,0.5617978866398334,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,9600,0.5582414613105356,0.0029188100189134524,0.5554360492527485,0.563139422237873,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,9800,0.5549090391397477,0.0035186722523582047,0.5488998372852802,0.5574877107143402,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,10000,0.5569321403838694,0.0011025829949312658,0.5556757421791554,0.5581885059177876,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,10200,0.5551333952508867,0.0036127590257175315,0.5492335930466652,0.5590071442723274,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,10400,0.5557527161389588,0.005136301268020384,0.5475770626962185,0.5607155848294496,4,"1000,1001,1002,1003",59000,200,True
repeat-copy,baseline_vs_combined,loss,none,10600,0.5538392561674118,0.005128663911688986,0.5488097284734249,0.5624188551306725,4,"1000,1001,1002,1003",59000,200,True
