task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
even-palindrome,baseline_vs_combined,accuracy,none,200,0.49666666666666665,0.014043582955293944,0.48,0.52,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,400,0.5175,0.02015564437074639,0.49,0.54,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,600,0.48833333333333334,0.03287180487219338,0.45,0.535,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,800,0.5099999999999999,0.029439202887759502,0.465,0.55,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,1000,0.5099999999999999,0.05392896562454477,0.44,0.575,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,1200,0.5058333333333334,0.03877463374710615,0.45,0.56,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,1400,0.5358333333333334,0.02243818669639376,0.5,0.565,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,1600,0.525,0.017078251276599347,0.5,0.555,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,1800,0.5599999999999999,0.04163331998932264,0.52,0.625,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,2000,0.5833333333333334,0.024608038433722317,0.555,0.625,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,2200,0.5750000000000001,0.019790570145063163,0.555,0.605,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,2400,0.5933333333333334,0.03009245014211296,0.545,0.625,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,2600,0.5675,0.03837859646556484,0.495,0.605,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,2800,0.5716666666666667,0.017480147469502497,0.54,0.595,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,3000,0.5683333333333332,0.029533408577782236,0.505,0.59,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,3200,0.5716666666666667,0.027638539919628318,0.515,0.605,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,3400,0.5641666666666666,0.012720281268728085,0.54,0.575,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,3600,0.5641666666666666,0.02963903207296455,0.505,0.595,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,3800,0.5658333333333333,0.036448212881048374,0.525,0.61,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,4000,0.5850000000000001,0.03122498999199199,0.535,0.625,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,4200,0.5833333333333334,0.016749792701868167,0.565,0.615,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,4400,0.5791666666666666,0.031939613161227995,0.535,0.635,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,4600,0.6016666666666667,0.03880148908940939,0.545,0.67,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,4800,0.5683333333333334,0.017240134054647645,0.555,0.605,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,5000,0.5933333333333333,0.018181186857726208,0.57,0.62,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,5200,0.615,0.035472994422987965,0.565,0.665,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,5400,0.6150000000000001,0.03253203549323859,0.58,0.665,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,5600,0.6025,0.029119008682760274,0.575,0.655,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,5800,0.605,0.04518480570575319,0.54,0.67,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,6000,0.6233333333333334,0.022110831935702683,0.59,0.665,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,6200,0.6008333333333332,0.025399584423546943,0.56,0.635,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,6400,0.5891666666666667,0.017420454133639077,0.57,0.62,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,6600,0.6150000000000001,0.031490739379485336,0.575,0.655,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,6800,0.6175,0.03350994877147186,0.565,0.66,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,7000,0.6124999999999999,0.02445233458520204,0.585,0.655,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,7200,0.5883333333333334,0.04336537277085896,0.52,0.64,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,7400,0.6208333333333332,0.030743111242827893,0.565,0.66,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,7600,0.59,0.051559027660860034,0.525,0.69,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,7800,0.5991666666666667,0.043724198741149675,0.535,0.66,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,8000,0.6116666666666667,0.023570226039551608,0.585,0.65,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,8200,0.6041666666666666,0.02405144948276971,0.565,0.64,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,8400,0.6175,0.027500000000000024,0.59,0.675,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,8600,0.6075,0.015478479684172273,0.58,0.63,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,8800,0.6066666666666666,0.0328718048721934,0.565,0.645,6,"1000,1001,1002,1003,1004,1005",100000,200,True
even-palindrome,baseline_vs_combined,accuracy,none,9000,0.6425,0.014361406616345085,0.63,0.665,6,"1000,1001,1002,1003,1004,1005",100000,200,True
